Rank,Title,Rating
1,The Shawshank Redemption,9.3
2,The Godfather,9.2
3,The Dark Knight,9.0
4,The Godfather Part II,9.0
5,12 Angry Men,9.0
6,Schindler&apos;s List,9.0
7,The Lord of the Rings: The Return of the King,9.0
8,Pulp Fiction,8.9
9,The Lord of the Rings: The Fellowship of the Ring,8.9
10,"Il buono, il brutto, il cattivo",8.8
11,Forrest Gump,8.8
12,The Lord of the Rings: The Two Towers,8.8
13,Fight Club,8.8
14,Inception,8.8
15,Star Wars: Episode V - The Empire Strikes Back,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,One Flew Over the Cuckoo&apos;s Nest,8.7
19,Interstellar,8.7
20,Se7en,8.6
21,It&apos;s a Wonderful Life,8.6
22,Shichinin no samurai,8.6
23,The Silence of the Lambs,8.6
24,Saving Private Ryan,8.6
25,Cidade de Deus,8.6
26,La vita è bella,8.6
27,The Green Mile,8.6
28,Terminator 2: Judgment Day,8.6
29,Star Wars,8.6
30,Back to the Future,8.5
31,Sen to Chihiro no kamikakushi,8.6
32,The Pianist,8.5
33,Gisaengchung,8.5
34,Psycho,8.5
35,Gladiator,8.5
36,The Lion King,8.5
37,Spider-Man: Across the Spider-Verse,8.6
38,The Departed,8.5
39,Whiplash,8.5
40,American History X,8.5
41,Léon,8.5
42,Hotaru no haka,8.5
43,The Prestige,8.5
44,Seppuku,8.6
45,Dune: Part Two,8.5
46,The Usual Suspects,8.5
47,Casablanca,8.5
48,Intouchables,8.5
49,Nuovo Cinema Paradiso,8.5
50,Modern Times,8.5
51,Alien,8.5
52,Rear Window,8.5
53,C&apos;era una volta il West,8.5
54,City Lights,8.5
55,Django Unchained,8.5
56,Apocalypse Now,8.4
57,Memento,8.4
58,WALL·E,8.4
59,Raiders of the Lost Ark,8.4
60,12th Fail,8.9
61,Das Leben der Anderen,8.4
62,Sunset Blvd.,8.4
63,Avengers: Infinity War,8.4
64,Paths of Glory,8.4
65,Spider-Man: Into the Spider-Verse,8.4
66,Witness for the Prosecution,8.4
67,The Shining,8.4
68,The Great Dictator,8.4
69,Aliens,8.4
70,Inglourious Basterds,8.4
71,The Dark Knight Rises,8.4
72,Coco,8.4
73,Amadeus,8.4
74,Toy Story,8.3
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
76,Oldeuboi,8.3
77,American Beauty,8.3
78,Avengers: Endgame,8.4
79,Das Boot,8.4
80,Braveheart,8.3
81,Good Will Hunting,8.3
82,Mononoke-hime,8.3
83,Joker,8.4
84,Kimi no na wa.,8.4
85,Tengoku to jigoku,8.4
86,3 Idiots,8.4
87,Once Upon a Time in America,8.3
88,Singin&apos; in the Rain,8.3
89,Capharnaüm,8.4
90,Idi i smotri,8.4
91,Requiem for a Dream,8.3
92,Toy Story 3,8.3
93,Star Wars: Episode VI - Return of the Jedi,8.3
94,Eternal Sunshine of the Spotless Mind,8.3
95,Jagten,8.3
96,2001: A Space Odyssey,8.3
97,Ikiru,8.3
98,Reservoir Dogs,8.3
99,Lawrence of Arabia,8.3
100,The Apartment,8.3
101,Incendies,8.3
102,North by Northwest,8.3
103,Scarface,8.3
104,Oppenheimer,8.3
105,Double Indemnity,8.3
106,Citizen Kane,8.3
107,M - Eine Stadt sucht einen Mörder,8.3
108,Vertigo,8.3
109,Full Metal Jacket,8.2
110,Heat,8.3
111,Le fabuleux destin d&apos;Amélie Poulain,8.3
112,Up,8.3
113,A Clockwork Orange,8.2
114,To Kill a Mockingbird,8.3
115,Jodaeiye Nader az Simin,8.3
116,The Sting,8.3
117,Die Hard,8.2
118,Indiana Jones and the Last Crusade,8.2
119,Taare Zameen Par,8.3
120,Metropolis,8.3
121,Snatch,8.2
122,1917,8.2
123,L.A. Confidential,8.2
124,Ladri di biciclette,8.3
125,Hamilton,8.3
126,Der Untergang,8.2
127,Taxi Driver,8.2
128,Dangal,8.3
129,Batman Begins,8.2
130,Per qualche dollaro in più,8.2
131,The Wolf of Wall Street,8.2
132,Green Book,8.2
133,Some Like It Hot,8.2
134,The Kid,8.2
135,The Truman Show,8.2
136,Judgment at Nuremberg,8.3
137,The Father,8.2
138,All About Eve,8.2
139,Shutter Island,8.2
140,There Will Be Blood,8.2
141,Jurassic Park,8.2
142,Top Gun: Maverick,8.2
143,Casino,8.2
144,Ran,8.2
145,The Sixth Sense,8.2
146,El laberinto del fauno,8.2
147,Unforgiven,8.2
148,No Country for Old Men,8.2
149,The Thing,8.2
150,A Beautiful Mind,8.2
151,Kill Bill: Vol. 1,8.2
152,The Treasure of the Sierra Madre,8.2
153,Yôjinbô,8.2
154,The Great Escape,8.2
155,Monty Python and the Holy Grail,8.2
156,Finding Nemo,8.2
157,Prisoners,8.2
158,Hauru no ugoku shiro,8.2
159,Rashômon,8.2
160,The Elephant Man,8.2
161,Dial M for Murder,8.2
162,Chinatown,8.1
163,Gone with the Wind,8.2
164,"Lock, Stock and Two Smoking Barrels",8.1
165,El secreto de sus ojos,8.2
166,V for Vendetta,8.1
167,Inside Out,8.1
168,"Three Billboards Outside Ebbing, Missouri",8.1
169,Raging Bull,8.1
170,Trainspotting,8.1
171,The Bridge on the River Kwai,8.1
172,Klaus,8.2
173,Catch Me If You Can,8.1
174,Fargo,8.1
175,Warrior,8.1
176,Spider-Man: No Way Home,8.2
177,Gran Torino,8.1
178,Harry Potter and the Deathly Hallows - Part 2,8.1
179,Million Dollar Baby,8.1
180,Tonari no Totoro,8.1
181,Mad Max: Fury Road,8.1
182,Bacheha-Ye aseman,8.2
183,Ben-Hur,8.1
184,12 Years a Slave,8.1
185,Barry Lyndon,8.1
186,Before Sunrise,8.1
187,Blade Runner,8.1
188,The Grand Budapest Hotel,8.1
189,Hacksaw Ridge,8.1
190,Gone Girl,8.1
191,Dead Poets Society,8.1
192,Maharaja,8.5
193,Salinui chueok,8.1
194,In the Name of the Father,8.1
195,The Gold Rush,8.1
196,"Monsters, Inc.",8.1
197,Relatos salvajes,8.1
198,The Deer Hunter,8.1
199,The General,8.1
200,Sherlock Jr.,8.2
201,Jaws,8.1
202,Ratatouille,8.1
203,How to Train Your Dragon,8.1
204,On the Waterfront,8.1
205,Mary and Max.,8.1
206,Le salaire de la peur,8.1
207,Smultronstället,8.1
208,The Third Man,8.1
209,Ford v Ferrari,8.1
210,Mr. Smith Goes to Washington,8.1
211,Logan,8.1
212,Tôkyô monogatari,8.1
213,Rocky,8.1
214,The Big Lebowski,8.1
215,Det sjunde inseglet,8.1
216,Room,8.1
217,Spotlight,8.1
218,The Terminator,8.1
219,Hotel Rwanda,8.1
220,Platoon,8.1
221,La haine,8.1
222,Pirates of the Caribbean: The Curse of the Black Pearl,8.1
223,Before Sunset,8.1
224,La passion de Jeanne d&apos;Arc,8.1
225,The Best Years of Our Lives,8.1
226,Jai Bhim,8.7
227,The Exorcist,8.1
228,Rush,8.1
229,The Incredibles,8.0
230,The Wizard of Oz,8.1
231,Network,8.1
232,Stand by Me,8.1
233,Hachi: A Dog&apos;s Tale,8.1
234,The Sound of Music,8.1
235,Babam ve Oglum,8.2
236,Ah-ga-ssi,8.1
237,To Be or Not to Be,8.1
238,Into the Wild,8.1
239,La battaglia di Algeri,8.1
240,The Grapes of Wrath,8.1
241,Groundhog Day,8.0
242,The Iron Giant,8.1
243,Amores perros,8.0
244,Rebecca,8.1
245,The Help,8.1
246,Cool Hand Luke,8.1
247,It Happened One Night,8.1
248,"Paris, Texas",8.1
249,Scent of a Woman,8.0
250,Drishyam,8.2
